S/N,Base,Type,Dte,Types of Eqpt,Brand & Model,Serial No,"Processor, RAM & HDD/SSD",CPU,RAM,HDD,SSD,Status,Location,Remarks by CW&IT,Remarks,Win 10 RMK,AD Status
1,Air HQ,Existing,Dte Rect,All-in-One,Barnd: HP Model: EliteOne 800 G3,SGH831SVM5,"Core i5 7th Gen, RAM: 8 GB, HDD: 1 TB",Core i5 7th Gen,8 GB,1 TB,0,svc,AD,ok,Withdraw & Issue,,
2,Air HQ,Existing,Dte Rect,Desktop,Brand: Clone Model: 107S76 Ser: AU1A0743000354,NA,"Corei5 4th Gen, RAM: 8 GB, HDD: 500 GB, SSD: 128 GB",Corei5 4th Gen,8 GB,500 GB,128 GB,svc,O/R-1,ok,Withdraw & Issue,,
3,Air HQ,Existing,Dte Rect,Desktop,Brand: Dell Model: OPYUPLEX-GXI,6HB11S,"Core i5 4th Gen, RAM: 8 GB, HDD: 500 GB, SDD: 128 GB",Core i5 4th Gen,8 GB,500 GB,0,svc,O/R-3,ok,Withdraw & Issue,,
4,Air HQ,Existing,Dte Rect,Desktop,Brand: NAVANA Model: 59185,5670972,"Core i3 6th Gen, RAM: 4 GB, SSD: 512 GB",Core i3 6th Gen,4 GB,0,512 GB,svc,Ad & Pub,ok,Withdraw & Issue,,
5,Air HQ,Existing,Dte Rect,Desktop,Brand: Pride Model: 486SX33,94000152,"Core i3 2nd Gen, RAM: 4 GB, HDD: 500 GB",Core i3 2nd Gen,4 GB,500 GB,0,svc,O/R-2,ok,Withdraw & Issue,,
6,Air HQ,Existing,JAG Br,All-in-One,Brand: Hp Model: Flite one 800G3,SGH831SVM4,"Core i5 7th, RAM: 8GB, HDD: 1 TB",Core i5 7th,8GB,1 TB,0,svc,O/R-4,Withdraw,Issued,,
7,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB",Core i3 7th Gen,4GB,500 GB,0,svc,O/R-1,ok,Withdraw & Issue,,
8,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB",Core i3 7th Gen,4GB,500 GB,0,svc,O/R-3,ok,Withdraw & Issue,,
9,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3, RAM: 4GB, HDD: 500 GB SSD 128",Core i3,4GB,500 GB,0,svc,O/R-6,ok,Withdraw & Issue,,
10,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3 7th Gen, RAM: 4GB, HDD: 500 GB SSD 256",Core i3 7th Gen,4GB,500 GB,0,svc,PA,Withdraw,Issued,,
11,Air HQ,Existing,JAG Br,Desktop,Brand: Clone Model:,NA,"Core i3, RAM: 4GB, HDD: 500 GB",Core i3,4GB,500 GB,0,U/S,Process for Cat R/S,Withdraw,Issued,,
12,Air HQ,Existing,Dte AC,All-in-One,Brand: HP,SGH831SVLM,Core i5 7th Gen,Core i5 7th Gen,0,0,0,svc,SSO,ok,Withdraw & Issue,,
13,Air HQ,Existing,Dte AC,All-in-One,Brand: HP,SGH820SQ63,"Core i5 7th Gen, RAM-8 GB, HDD- 1 TB",Core i5 7th Gen,8 GB,1 TB,0,svc,D AC,ok,Withdraw & Issue,,
14,Air HQ,Existing,Dte AC,Desktop,Brand: Clone,NA,"Core i3 4th Gen, RAM-8 GB, SSD- 512 GB",Core i3 4th Gen,8 GB,0,512 GB,svc,Estb,ok,Withdraw & Issue,,
15,Air HQ,Existing,Dte AC,Desktop,Brand: Clone,NA,"Core i3 4th Gen, RAM-4 GB, HDD- 512 GB",Core i3 4th Gen,4 GB,512 GB,0,svc,Regulation,ok,Withdraw & Issue,,
16,Air HQ,Existing,Dte AC,Desktop,Clone,NA,"Core i3 3rd Gen, RAM-2 GB, SSD- 128 GB, HDD-512 GB",Core i3 3rd Gen,2 GB,512 GB,128 GB,svc,O/R,ok,Withdraw & Issue,,
17,Air HQ,Existing,CI’s Office,All-in-One,Brand: HP Model: EliteOne 800G3,SGH831SVM2,"Core: i5 7th Gen, RAM: 8 GB, HDD: 1 TB",Core: i5 7th Gen,8 GB,1 TB,0,svc,CI,ok,Withdraw & Issue,,
18,Air HQ,Existing,Dte FS,All-in-One,Brand: HP Model: EliteOne 800G3,SGH831SVLN,"Core i5 7th Gen, RAM: 8 GB, HDD:1 TB",Core i5 7th Gen,8 GB,1 TB,0,svc,Tech O/R Desk-1,Withdraw,Issued,,
19,Air HQ,Existing,Dte FS,Desktop,Model: Clone-P4-450W24PIN Ser: MT1W878F,NA,"Core i3 4th Gen, RAM: 4 GB, HDD:512 GB, SSD: 128 GB",Core i3 4th Gen,4 GB,512 GB,128 GB,svc,,ok,Withdraw & Issue,,
20,Air HQ,Existing,Dte FS,Desktop,Model: Dell OptiPlex,674F115,"Core i3 4th Gen, RAM: 4 GB, HDD:512 GB",Core i3 4th Gen,4 GB,512 GB,0,svc,O/R Desk-4,ok,Withdraw & Issue,,
21,Air HQ,Existing,Dte Proj,All-in-One,Brand: Dell Model: Vastro 203015,HVTG822,"Celeron (R), RAM: 4 GB, HDD: 466GB",Celeron (R),4 GB,466GB,0,svc,"Stuff-1
 Desk-4",Withdraw Due,Issued,,
22,Air HQ,Existing,Dte Proj,All-in-One,Brand: HP Model: EliteOne,SGH831SVLX,"Core i5 7th Gen, RAM: 8 GB, HDD: 932 GB",Core i5 7th Gen,8 GB,932 GB,0,svc,D Proj,Withdraw Due,Issued,,
23,Air HQ,Existing,Dte Proj,All-in-One,Brand: Lenovo Model: ThinkCentre,PCOBQWKW,"Core i3 6th Gen, RAM: 4 GB, HDD: 932 GB",Core i3 6th Gen,4 GB,932 GB,0,svc,"O/R,
Desk-2",Withdraw Due,Issued,,
24,Air HQ,Existing,Dte Proj,Desktop,Brand: Cheval Model: 2323A Samsung(ZZQTH4TH800566),NA,"Core i3 3rd Gen, RAM: 2 GB, HDD: 466 GB, SSD: 128 GB",Core i3 3rd Gen,2 GB,466 GB,128 GB,svc,"Stuff-1,
Desk-1",Withdraw Due,Issued,,
25,Air HQ,Existing,Dte Proj,Desktop,Brand: LG Model: S19D300NY,31ONDFV5J107,"Core (TM)2, RAM: 2 GB, HDD: 466 GB",Core (TM)2,2 GB,466 GB,0,svc,"Stuff-1,
Desk-3",Withdraw Due,Issued,,
26,Air HQ,Existing,Dte Proj,Desktop,Brand: Samsung Model: S19D300NY,ZZ91H4LG503433J,"Pentium, RAM: 4 GB, HDD: 466 GB",Pentium,4 GB,466 GB,0,svc,"O/R,
Desk-1",Withdraw Due,Issued,,
27,Air HQ,Existing,Dte Fin,All-in-One,Brand: HP Model: 22-b2031,8CC7381PDZ,"Core i5 7th Gen, RAM: 4GB, HDD: 1TB",Core i5 7th Gen,4GB,1TB,0,svc,Treasurer Central,,Not Issued,ok for win 10,
28,Air HQ,Existing,Dte Fin,All-in-One,Brand: HP Model: 22-b2031,8CC7381PH5,"Core i3 6th Gen, RAM: 8GB, SSD: 512GB",Core i3 6th Gen,8GB,0,512GB,svc,BAFWA,,Not Issued,ok for win 10,
29,Air HQ,Existing,Dte Fin,All-in-One,Brand: Lenovo Model: Think Center,S/N: PC0BWL6,"Core i3 4th Gen, RAM: 4GB, HDD: 512GB, SSD: 128 GB",Core i3 4th Gen,4GB,512GB,128 GB,svc,AD BGT (S/L Shajedul),,Not Issued,,
30,Air HQ,Existing,Dte Fin,Desktop,"Brand: Circle, Monitor Brand/Model: Samsung",Monitor S/N: LG502575,"Core i3 4th Gen, RAM: 4GB, HDD:512 GB, SSD: 256 GB",Core i3 4th Gen,4GB,512 GB,256 GB,svc,Budget Sec,,Not Issued,,
31,Air HQ,Existing,Dte Fin,Desktop,"Brand: COOL, Monitor Brand/Model: Samsung",Monitor S/N: G05XHYCF702906R,"Core i3 4th Gen, RAM: 4GB, HDD:512 GB",Core i3 4th Gen,4GB,512 GB,0,svc,PA to D Fin,,Not Issued,,
32,Air HQ,Existing,Dte Fin,Desktop,"Brand: Hi Speed, Monitor Brand/Model: Samsung",Monitor S/N: ZZAEH4LG801309N,"Core i3 3th Gen, RAM: 2GB, HDD: 512GB",Core i3 3th Gen,2GB,512GB,0,svc,BGT Sec,,Not Issued,,
33,Air HQ,Existing,Dte Fin,Desktop,"Brand: Hi-Speed, Monitor Brand/Model: Samsung",Monitor S/N: G044HYCI200243L,"Core i3 4th Gen, RAM: 4GB, HDD: 1 TB",Core i3 4th Gen,4GB,1 TB,0,svc,PF Sec,,Not Issued,,
34,Air HQ,Existing,Dte Fin,Desktop,"Brand: PACE, Monitor Brand/Model: Samsung",Monitor S/N: 0A04HYCF401902H,"Core i3 4th Gen, RAM: 8GB, HDD:1 TB, SSD: 128 GB",Core i3 4th Gen,8GB,1 TB,128 GB,svc,TA/DA Sec,,Not Issued,,
35,Air HQ,Existing,Dte Fin,Desktop,"Brand: SAN, Monitor Brand/Model: Samsung",Monitor S/N: ZZAEH4LG801309N,"Core i3 4th Gen, RAM: 8GB, HDD:1 TB, SSD: 128 GB",Core i3 4th Gen,8GB,1 TB,128 GB,svc,Audit & Store Sec,,Not Issued,,
36,Air HQ,Existing,Dte Fin,Desktop,Monitor brand: Hp,Monitor S/N: CNC1270TCS,"Pentium (R), Dual Core CPU, RAM: 2 GB, HDD: 700 GB","Pentium (R), Dual Core CPU",2 GB,700 GB,0,svc,Budged Sec,,Not Issued,,
37,Air HQ,Existing,Dte Fin,Desktop,Samsung Monitor,Monitor S/N: ZWNTHMB801207P,"Core i3 4th Gen, RAM 2 GB, HDD: 1 TB",Core i3 4th Gen,2 GB,1 TB,0,svc,Budged Sec,,Not Issued,,
38,Air HQ,Existing,Dte Fin,Desktop,Monitor Brand: LG,Monitor S/N: 3091NQ54452,"Pentium (R), Dual Core, RAM: 2GB, HDD: 512 GB",Pentium (R),2GB,512 GB,0,svc,pension Sec,,Not Issued,,
39,Air HQ,Existing,Dte MS,All-in-One,Elit-One All-in-One pc,SGH831SVM6,"Core: i5 7th, RAM: 8 GB 
HDD: 1 TB",Core: i5 7th,8 GB,1 TB,0,svc,DDMS,,Not Issued,ok for win 10,
40,Air HQ,Existing,Dte MS,Desktop,"CPU: Clone, Monitor: SAMSUNG, S/N: MRCYHYCF100308E",BAF CU990039,"Core: i3 3th, RAM: 8GB 
HDD: 512GB, SSD: 128GB",Core: i3 3th,8GB,512GB,128GB,svc,PA to DMS,,Not Issued,,
41,Air HQ,Existing,Dte Pers,All-in-One,Brand: Hp Model: EliteOne 800 G3,SGH 831SVM8,"Core i5-7th Gen, RAM: 8 GB, HDD: 1 TB",Core i5-7th Gen,8 GB,1 TB,0,svc,MODC Sec,,Not Issued,ok for win 10,
42,Air HQ,Existing,Dte Pers,Desktop,CPU Brand: Clone Monitor Brand/Model: LG Ser: 609INRC3N438,NA,"Core- i3 4th Gen, RAM: 4GB, HDD: 1 TB, SSD: 128 GB",Core- i3 4th Gen,4GB,1 TB,128 GB,svc,Mng Sec,,Not Issued,,
43,Air HQ,Existing,Dte Pers,Desktop,CPU Brand: Clone Monitor Brand/Model: LG Ser: 609INX3N473,NA,"Core i3 6th Gen, RAM: 4GB, HDD: 512 GB",Core i3 6th Gen,4GB,512 GB,0,svc,Legal Stuff,,Not Issued,ok for win 10,
44,Air HQ,Existing,Dte Pers,Desktop,CPU Brand: Clone Monitor Brand/Model: Samsung S19D300NY Ser: ZZ91H4G502523Z,NA,"Core i3 4th Gen, RAM: 4GB, HDD: 512 GB,",Core i3 4th Gen,4GB,512 GB,0,svc,P&D,,Not Issued,,
45,Air HQ,Existing,Dte Pers,Desktop,"CPU Brand: Clone Monitor Brand/Model: Samsung 
S/N: ZUNMHMAC8J492U",NA,"Core: i3 4th Gen, RAM: 8 GB, HDD: 512 GB, SSD: 128 GB",Core: i3 4th Gen,8 GB,512 GB,128 GB,svc,ICT,,Not Issued,,
46,Air HQ,Existing,Dte Pers,Desktop,"CPU Brand: Clone Monitor Brand/Model: Samsung
S/N: ZZAFEH4LG603469K",NA,"Core: i3 4th Gen, RAM: 4 GB, HDD: 512 GB",Core: i3 4th Gen,4 GB,512 GB,0,svc,Legal Stuff,,Not Issued,,
47,Air HQ,Existing,Dte W&C,All-in-One,HP Elit One All-in-One Pc,SGH8205Q43,"Core i5 7th Gen, RAM: 8 GB, HDD: 1 TB",Core i5 7th Gen,8 GB,1 TB,0,svc,Director,,Not Issued,ok for win 10,
48,Air HQ,Existing,Dte W&C,All-in-One,Lenovo Think Center,PCOBQWL1,"Core i3 6th Gen, RAM: 4 GB
 HDD: 1 TB",Core i3 6th Gen,4 GB,1 TB,0,svc,Bill Sec (JCOIC),,Not Issued,ok for win 10,
49,Air HQ,Existing,Dte W&C,Desktop,Dell Monitor (Clone) S/N: CN-OXOT4K-72872-3CA-GD5U,Clone,"Core-i5 8th Gen, RAM: 4GB, HDD: 1 TB",Core-i5 8th Gen,4GB,1 TB,0,svc,Well Sec,,Not Issued,,
50,Air HQ,Existing,Dte W&C,Desktop,LG Monitor S/N: 31oNDRFJ998,Clone,"Core-i3 4th Gen, RAM: 4GB,
HDD: 512GB",Core-i3 4th Gen,4GB,512GB,0,svc,Store Room,,Not Issued,,
51,Air HQ,Existing,Dte W&C,Desktop,Samsung Monitor S/N: G064HYCF901122F,Clone,"Core-i3 4th Gen, RAM: 2GB,
HDD: 512GB + 1TB",Core-i3 4th Gen,2GB,512GB,0,svc,Crem Sec,,Not Issued,,
52,Air HQ,Existing,PM Dte,All-in-One,Brand: HP Model: EliteOne 800 G323.8 Non-Touch AiO,SGH 8315VM7,"Core: i5 7th Gen, RAM: 8 GB, SSD: 128 GB, HDD:1 TB",Core: i5 7th Gen,8 GB,1 TB,128 GB,svc,JCOIC Room,,Not Issued,ok for win 10,
53,Air HQ,Existing,PM Dte,Desktop,"Brand: Clone, Model: Clone,Monitor: Samsung",G05XHYCF702581,"Core: i3 4th Gen, RAM: 2 GB, SSD: 512 GB",Core: i3 4th Gen,2 GB,0,512 GB,svc,Odr,,Not Issued,,
54,Air HQ,Existing,PM Dte,Desktop,Brand: Dell Model: Core (TM) i5-6500 CPU,7R60CD2,"Core: i5 6th Gen, RAM: 4 GB, SSD: 512 GB, HDD: 512 GB",Core: i5 6th Gen,4 GB,512 GB,512 GB,svc,Fire & Training,,Not Issued,ok for win 10,
55,Air HQ,Existing,PM Dte,Desktop,Brand: Samsung Model:,S19F350HNW,"Core: i3 4th Gen, RAM: 4 GB, HDD: 512 GB",Core: i3 4th Gen,4 GB,512 GB,0,svc,"PM-6, GC-6",,Not Issued,,
56,Air HQ,Existing,PM Dte,Desktop,"Brand: Dell PC, Model: Optic 3040 (MT)",SB93D2,"Core: i5 6th Gen, RAM: 4 GB, HDD: 512 GB",Core: i5 6th Gen,4 GB,512 GB,0,svc,Odr Room,,Not Issued,ok for win 10,
57,Air HQ,Existing,Dte Sup (SPS),All-in-One,HP,SGH820SQ4F,"Core i5 7th Gen, RAM: 8 GB, HDD 1TB.",Core i5 7th Gen,8 GB,1TB,0,svc,Clo Gp WO Jasim,,Not Issued,ok for win 10,
58,Air HQ,Existing,Dte Sup (SPS),All-in-One,Dell,4V2T772,"Core i5 6th Gen, RAM: 4GB, SSD 512 GB.",Core i5 6th Gen,4GB,0,512 GB,svc,"Sig Gp, Sgt Aziz",,Not Issued,ok for win 10,
59,Air HQ,Existing,Dte Sup (SPS),Desktop,Clone,N/A,"Intel Core i3, 2nd Gen, RAM: 4GB, HHD 1 TB",Intel Core i3,4GB,0,0,svc,"ORD Gp, WO hahid",,Not Issued,,
60,Air HQ,Existing,Dte Sup (SPS),Desktop,Clone,N/A,"Intel Core i3, 3rd Gen, RAM: 2GB, HHD 512GB",Intel Core i3,2GB,0,0,svc,"Sig Gp, Sgt Aziz",,Not Issued,,
61,Air HQ,Existing,Dte Sup (SPS),Desktop,Clone,N/A,"Pentium 2 Dual Core, RAM: 4GB, SSD 512 GB",Pentium 2 Dual Core,4GB,0,512 GB,svc,"MT Gp, WO aula",,Not Issued,,
62,Air HQ,Existing,Dte Sup (SPS),Desktop,Clone,N/A,"Intel Core i3, 2nd Gen, RAM: 4GB, HDD 512GB",Intel Core i3,4GB,512GB,0,svc,"Clo Gp, MWO Ferdous",,Not Issued,,
63,Air HQ,Existing,Dte Sup (SPS),Desktop,Clone,N/A,"Intel Core i3, 2nd Gen RAM: 8GB, SSD 256 GB, HDD: 1 TB",Intel Core i3,8GB,1 TB,256 GB,svc,"Pri Gp, WO Mofiz",,Not Issued,,
64,Air HQ,Existing,Dte AD,All-in-One,Brand: Lenovo Model: Think Centre M700z,PCOBQWLU,"Intel Core i3-6100T, 3.2GHz, HDD:1TB, RAM:4GB",Intel Core i3-6100T,4GB,1TB,0,svc,Ops Rec,,Withdraw & Issue,,
65,Air HQ,Existing,Dte AD,Desktop,Brand: LG Model: 19M38A,NA,"Intel Core i3-6098P, 3.6GHz, HDD:512GB, RAM:4GB",Intel Core i3-6098P,4GB,512GB,0,svc,PA To Dte,,Withdraw & Issue,,
66,Air HQ,Existing,Dte Air Trng,All-in-One,Brand: HP Model: Elite One 800GG323,SGH831SVM3,"Core i5-7500, HDD:1TB, RAM:8GB",Core i5-7500,8GB,1TB,0,svc,Staff room (Sports) Trg-6,,Withdraw & Issue,,
67,Air HQ,Existing,Dte Air Trng,Desktop,Brand: Clone Model: NA,NA,"Core i3-2100, SSD:500GB, RAM:8GB",Core i3-2100,8GB,0,500GB,svc,Procurement Section,,Withdraw & Issue,,
68,Air HQ,Existing,Dte Air Trng,Desktop,Brand: Clone Model: NA,NA,"Intel Core i3-6098P, HDD:500GB, SSD:250GB, RAM:8GB,",Intel Core i3-6098P,8GB,500GB,250GB,svc,Foreign Training,,Withdraw & Issue,,
69,Air HQ,Existing,Dte Air Trng,Desktop,Brand: Clone Model: NA,NA,"(TM) Core i3, HDD:1 TB, SSD:120GB, RAM DDR-3, 6GB",(TM) Core i3,,1 TB,120GB,svc,Staff Room Sports,,Withdraw & Issue,,
70,Air HQ,Existing,Dte Air Trng,Desktop,Brand: Clone Model: NA,NA,"Intel Core i3-4400, SSD:250GB, HDD:500GB, RAM:8GB",Intel Core i3-4400,8GB,500GB,250GB,svc,Staff room Flying Trg-5,,Withdraw & Issue,,
71,Air HQ,Existing,Dte Edn,All-in-One,Brand: Lenovo Model: Think Centre M700z,PCOBQWMI,"Intel(R) Core (TM) i3 7th Gen, RAM= 4GB, HDD=929GB",Intel(R) Core (TM) i3 7th Gen,4GB,0,0,svc,D Edn,Withdraw,Issued,,
72,Air HQ,Existing,Dte Edn,Desktop,Brand: Clone Model: --,NA,"Core I3 4th Gen, RAM=4GB, HDD=462GB",Core I3 4th Gen,4GB,0,0,svc,MWO Anwor,ok,Withdraw & Issue,,
73,Air HQ,Existing,Dte Edn,Desktop,Brand:Clone Model: -- Ser: G064HYCF901099T,NA,"Core I3 4th Gen, RAM=4GB, HDD=928GB",Core I3 4th Gen,4GB,0,0,svc,Civ Rezaul,Withdraw,Issued,,
74,Air HQ,Existing,Dte Edn,Desktop,Brand:Clone Model: -- Ser: ZZAEH4JGB01893B,NA,"Core i3 4th Gen, RAM=4GB, HDD=928GB",Core i3 4th Gen,4GB,0,0,svc,SWO Sujan,ok,Withdraw & Issue,,
75,Air HQ,Existing,Dte Edn,Desktop,Brand:Clone Model: -- Ser:CN-OXOTZT4K7,NA,"Core i3 4th Gen, RAM=4GB, HDD=464GB",Core i3 4th Gen,4GB,0,0,svc,Swo Tonuzul,Withdraw,Withdraw & Issue,,
76,Air HQ,Existing,Dte Edn,Desktop,Brand:Clone Model: -- Ser: ZZAEH4LGB03007P,NA,"(R), Pentium(R) CPU G645, RAM=2GB, HDD=930GB",Pentium(R) CPU,2GB,0,0,svc,Sgt Nabi Sheikh,ok,Issued,,
77,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 3rd Gen, HDD-1 TB, Ram-4GB",Core i3 3rd Gen,4GB,1 TB,0,svc,Russian Gp,ok,Withdraw & Issue,,
78,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 4th Gen, HDD-500 GB, SSD-120 GB, Ram-2GB",Core i3 4th Gen,2GB,500 GB,120 GB,svc,Registry Gp,ok,Withdraw & Issue,,
79,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 2nd Gen, HDD-500 GB, Ram-4GB,",Core i3 2nd Gen,4GB,500 GB,0,svc,Lp Gp,ok,Withdraw & Issue,,
80,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 3rd Gen, HDD-512 GB, SSD-120 GB Ram-4GB, 3rd Gen",Core i3 3rd Gen,4GB,512 GB,120 GB,svc,Radar Gp,ok,Withdraw & Issue,,
81,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Intel Pentium G630, SSD-512 GB, Ram-4GB",Intel Pentium G630,4GB,0,512 GB,svc,POL Gp,ok,Withdraw & Issue,,
82,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 4th Gen, HDD-500 GB, Ram-4GB",Core i3 4th Gen,4GB,500 GB,0,svc,POL Gp,ok,Withdraw & Issue,,
83,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 6th Gen, HDD-500 GB, SSD-120 GB, Ram-4GB",Core i3 6th Gen,4GB,500 GB,120 GB,svc,K-8W Gp,ok,Withdraw & Issue,,
84,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 2nd Gen, HDD-1 TB, Ram-4GB",Core i3 2nd Gen,4GB,1 TB,0,svc,Russian Gp,ok,Withdraw & Issue,,
85,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 2nd Gen, HDD-1 TB, Ram-4GB,",Core i3 2nd Gen,4GB,1 TB,0,svc,Radar Gp,ok,Withdraw & Issue,,
86,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 4th Gen, HDD-1 TB, Ram-4GB",Core i3 4th Gen,4GB,1 TB,0,svc,POL Gp,ok,Withdraw & Issue,,
87,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 2nd Gen, HDD-500 GB, Ram-4GB",Core i3 2nd Gen,4GB,500 GB,0,svc,Dress Gp,ok,Withdraw & Issue,,
88,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i5 4th Gen, SSD-512 GB, Ram-4GB",Core i5 4th Gen,4GB,0,512 GB,svc,UN MSN Cell,ok,Withdraw & Issue,,
89,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 4th Gen, HDD-1 TB, Ram-4GB",Core i3 4th Gen,4GB,1 TB,0,svc,Registry Room,ok,Withdraw & Issue,,
90,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 7th Gen Gen, SSD-512 GB, Ram-4GB",Core i3 7th Gen,4GB,0,512 GB,svc,C-130 Gp,ok,Withdraw & Issue,,
91,Air HQ,Existing,Dte Sup,Desktop,Brand: Clone Model: NA,NA,"Core i3 6th Gen, HDD-1 TB, SSD-120 GB, Ram-8GB",Core i3 6th Gen,8GB,1 TB,120 GB,svc,Policy Gp,ok,Withdraw & Issue,,
92,Air HQ,Existing,Dte A&W,All-in-One,Brand: Lenovo Model: Think Centre,DCOBQWLQ,"Core i3 6th Gen, Ram: 4 GB, HDD:1 TB",Core i3 6th Gen,4 GB,1 TB,0,svc,JCOIC,ok,Withdraw & Issue,,
93,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 2nd Gen, Ram: 4 GB, HDD:1 TB,",Core i3 2nd Gen,4 GB,1 TB,0,U/S,Photo Gp,Withdraw,issued,,
94,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen, Ram: 2 GB, HDD:1 TB,",Core i3 4th Gen,2 GB,1 TB,0,svc,Expl Gp,ok,Withdraw & Issue,,
95,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen Ram: 4 GB, SSD: 512GB",Core i3 4th Gen,4 GB,0,512GB,R/S,F-7 Gp,ok,Withdraw & Issue,,
96,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen Ram: 4 GB, HDD: 512GB",Core i3 4th Gen,4 GB,512GB,0,svc,F-7 Gp,ok,Withdraw & Issue,,
97,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 3rd Gen Ram: 2 GB, SSD: 512GB",Core i3 3rd Gen,2 GB,0,512GB,svc,EOD Room,ok,Withdraw & Issue,,
98,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen Ram: 4 GB, HDD: 512GB",Core i3 4th Gen,4 GB,512GB,0,svc,MI-17 Gp,ok,Withdraw & Issue,,
99,Air HQ,Existing,Dte A&W,Laptop,Brand: HP Nootbook Model: 14-am130TU,5CG7210DSK,"Core i5 7th Gen, RAM: 4GB, HDD: 1 TB",Core i5 7th Gen,4GB,1 TB,0,svc,SA Gp,ok,Withdraw & Issue,,
100,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen, RAM: 4 GB, SSD: 512 GB",Core i3 4th Gen,4 GB,0,512 GB,repair,F-7 Gp & Mig-29,ok,Withdraw & Issue,,
101,Air HQ,Existing,Dte A&W,Desktop,CPU Brand & Model: Clone,NA,"Core i3 4th Gen, RAM: 2 GB, SSD: 512 GB",Core i3 4th Gen,2 GB,0,512 GB,repair,UN & MI-17 Gp,Withdraw,issued,,
102,Air HQ,Existing,Dte A&W,Desktop,Clone Pc Model: H81MMLV3,NA,"Core i3 4th Gen, RAM: 2 GB, SSD: 512 GB",Core i3 4th Gen,2 GB,0,512 GB,svc,Expl Gp,ok,Withdraw & Issue,,
103,Air HQ,Existing,Dte A&W,Desktop,Clone Pc Model: H81M-DS2,NA,"Core i3 4th Gen, RAM: 2 GB, SSD: 512 GB",Core i3 4th Gen,2 GB,0,512 GB,svc,Photo Gp,ok,Withdraw & Issue,,
104,Air HQ,Existing,Dte Air Ops,All-in-One,HP EliteOne 800G323,SGH83ISVLT,Core i5 7th gen RAM: 8GB HDD: 1 TB,Core i5 7th gen,8GB,1 TB,0,svc,TPT-1_1,ok,Withdraw & Issue,,
